,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Boa Vista,"Aljezur, Portugal","Anadia, Portugal","Cabeceiras de Basto, Portugal","Felgueiras, Portugal","Loulé, Portugal","Seixal, Portugal","Zocca, Italy",,,,,,,,,,,,
Brava,"Cartaxo, Portugal","Santarém, Portugal",,,,,,,,,,,,,,,,,
Maio,"Arraiolos, Portugal","Loures, Portugal","São João da Madeira, Portugal","Vila Nova de Poiares, Portugal",,,,,,,,,,,,,,,
Mosteiros,"Amadora, Portugal","Ansião, Portugal","Azambuja, Portugal","Entroncamento, Portugal",,,,,,,,,,,,,,,
Paul,"Ribeira Grande, Portugal",,,,,,,,,,,,,,,,,,
Porto Novo,"Angra do Heroísmo, Portugal","Madalena, Portugal","Ribeira Grande, Portugal","Tavira, Portugal",,,,,,,,,,,,,,,
Praia,"Boston, United States","Faro, Portugal","Figueira da Foz, Portugal","Fortaleza, Brazil","Funchal, Portugal","Gondomar, Portugal","Jinan, China","Lisbon, Portugal","Macau, China","Ponta Delgada, Portugal","Providence, United States","Rio de Janeiro, Brazil",,,,,,,
Ribeira Brava,"Abrantes, Portugal","Beja, Portugal","Braga, Portugal","Maia, Portugal","Ovar, Portugal","Santo André, Brazil","Silves, Portugal",,,,,,,,,,,,
Ribeira Grande,"Caldas da Rainha, Portugal","Ribeira Grande, Portugal","Torres Novas, Portugal","Viana do Castelo, Portugal",,,,,,,,,,,,,,,
Ribeira Grande de Santiago,"Angra do Heroísmo, Portugal","Guimarães, Portugal","Lagos, Portugal","Ribeira Grande, Portugal","Tomar, Portugal",,,,,,,,,,,,,,
Sal,"Albufeira, Portugal","Almada, Portugal","Belmonte, Portugal","Cascais, Portugal","Desenzano del Garda, Italy","Fortaleza, Brazil","Lourinhã, Portugal","Macedo de Cavaleiros, Portugal","Maia, Portugal","Sanya, China",,,,,,,,,
Santa Catarina,"Hattersheim am Main, Germany","Saint-Denis, France","Vila Franca de Xira, Portugal",,,,,,,,,,,,,,,,
Santa Catarina do Fogo,"Miranda do Corvo, Portugal","Vila Nova da Barquinha, Portugal",,,,,,,,,,,,,,,,,
Santa Cruz,"Alfândega da Fé, Portugal","Aveiro, Portugal","Candiolo, Italy","Lagoa, Portugal","Sines, Portugal",,,,,,,,,,,,,,
São Domingos,"Barcelos, Portugal","Lagoa, Portugal","Madalena, Portugal",,,,,,,,,,,,,,,,
São Filipe,"Fortaleza, Brazil","Matosinhos, Portugal","Montijo, Portugal","Ourém, Portugal","Palmela, Portugal","Sesimbra, Portugal","Viseu, Portugal","Ziguinchor, Senegal",,,,,,,,,,,
São Lourenço dos Órgãos,"Anadia, Portugal",,,,,,,,,,,,,,,,,,
São Vicente,"Angra do Heroísmo, Portugal","Aquiraz, Brazil","Benguela, Angola","Coimbra, Portugal","Felgueiras, Portugal","Mafra, Portugal","New Bedford, United States","Oeiras, Portugal","Portalegre, Portugal","Portimão, Portugal","Porto, Portugal","Vagos, Portugal","Vila Nova de Famalicão, Portugal",,,,,,
Tarrafal,"Amadora, Portugal","Grândola, Portugal","Marinha Grande, Portugal","Mé-Zóchi, São Tomé and Príncipe","Moita, Portugal","Ponte de Sor, Portugal","Povoação, Portugal","Vila Franca de Xira, Portugal",,,,,,,,,,,
Tarrafal de São Nicolau,"Braga, Portugal","Maia, Portugal",,,,,,,,,,,,,,,,,
Alexandria,"Alicante, Spain","Almaty, Kazakhstan","Baltimore, United States","Bratislava, Slovakia","Catania, Italy","Cleveland, United States","Constanța, Romania","Durban, South Africa","Incheon, South Korea","Kazanlak, Bulgaria","Limassol, Cyprus","Odesa, Ukraine","Paphos, Cyprus","Port Louis, Mauritius","Saint Petersburg, Russia","Shanghai, China","Thessaloniki, Greece",,
Aswan,"Chongqing, China","Sonoma, United States",,,,,,,,,,,,,,,,,
Cairo,"Abu Dhabi, United Arab Emirates","Amman, Jordan","Baghdad, Iraq","Beijing, China","Damascus, Syria","East Jerusalem, Palestine","Istanbul, Turkey","Kairouan, Tunisia","Khartoum, Sudan","Muscat, Oman","Palermo Province, Italy","Rabat, Morocco","Sanaa, Yemen","Seoul, South Korea","Stuttgart, Germany","Tashkent, Uzbekistan","Tbilisi, Georgia","Tokyo, Japan","Tripoli, Libya"
Faiyum,"Haikou, China",,,,,,,,,,,,,,,,,,
Giza,"Istanbul, Turkey","Los Angeles, United States",,,,,,,,,,,,,,,,,
Ismailia,"Suzhou, China","Svishtov, Bulgaria",,,,,,,,,,,,,,,,,
Luxor,"Baltimore, United States","Brasília, Brazil","Kakheti, Georgia","Kazanlak, Bulgaria","Shenzhen, China","Viterbo, Italy","Yangzhou, China",,,,,,,,,,,,
Marsa Alam,"Jagodina, Serbia",,,,,,,,,,,,,,,,,,
Minya,"Hildesheim, Germany",,,,,,,,,,,,,,,,,,
Port Said,"Bizerte, Tunisia","Volgograd, Russia",,,,,,,,,,,,,,,,,
Sharm El-Sheikh,"Aqaba, Jordan","Batumi, Georgia","Yalta, Ukraine",,,,,,,,,,,,,,,,
Suez,"Skopje, North Macedonia",,,,,,,,,,,,,,,,,,
Bomet,"Milwaukee, United States",,,,,,,,,,,,,,,,,,
Bura,"Newburyport, United States",,,,,,,,,,,,,,,,,,
Eldoret,"Ithaca, United States","Minneapolis, United States","Portsmouth, United States",,,,,,,,,,,,,,,,
Esabalu,"Amesbury, United States",,,,,,,,,,,,,,,,,,
Kabarnet,"Hürth, Germany",,,,,,,,,,,,,,,,,,
Kisumu,"Boulder, United States","Roanoke, United States",,,,,,,,,,,,,,,,,
Marsabit,"Hinesville, United States",,,,,,,,,,,,,,,,,,
Mombasa,"Durban, South Africa","Fuzhou, China","Guangzhou, China","Honolulu, United States","Long Beach, United States","Seattle, United States",,,,,,,,,,,,,
Nairobi,"Addis Ababa, Ethiopia","Denver, United States","Kunming, China","Lowell, United States","Raleigh, United States","São Luís, Brazil",,,,,,,,,,,,,
Nyeri,"Amherst, United States",,,,,,,,,,,,,,,,,,
Taveta,"Melhus, Norway",,,,,,,,,,,,,,,,,,
Thika,"Dixon, United States",,,,,,,,,,,,,,,,,,
Uasin Gishu,"Scottsdale, United States",,,,,,,,,,,,,,,,,,
Wajir,"Haliliye, Turkey",,,,,,,,,,,,,,,,,,
Agadir,"Gaza City, Palestine","Hangzhou, China","Pleven, Bulgaria","Portsmouth, United States",,,,,,,,,,,,,,,
Ahfir,"Hérouville-Saint-Clair, France",,,,,,,,,,,,,,,,,,
Asilah,"Albuñol, Spain","Sintra, Portugal",,,,,,,,,,,,,,,,,
Berkane,"Bondy, France","Perpignan, France","Saint-Gilles, Belgium","Zeist, Netherlands",,,,,,,,,,,,,,,
Berrechid,"Çekmeköy, Turkey",,,,,,,,,,,,,,,,,,
Casablanca,"Bordeaux, France","Busan, South Korea","Chicago, United States","Dakar, Senegal","Dubai, United Arab Emirates","Jakarta, Indonesia","Kuala Lumpur, Malaysia","Muscat, Oman","Nouadhibou, Mauritania","Shanghai, China",,,,,,,,,
Chefchaouen,"Dijon, France","Issaquah, United States","Kunming, China",,,,,,,,,,,,,,,,
Deroua,"Ümraniye, Turkey",,,,,,,,,,,,,,,,,,
Essaouira,"Cascais, Portugal","Changshu, China","La Rochelle, France",,,,,,,,,,,,,,,,
Fez,"Bobo-Dioulasso, Burkina Faso","Chengdu, China","Coimbra, Portugal","Córdoba, Spain","East Jerusalem, Palestine","Florence, Italy","Jericho, Palestine","Kairouan, Tunisia","Kraków, Poland","Lahore, Pakistan","Montpellier, France","Saint-Louis, Senegal","Suwon, South Korea","Wuxi, China","Xi'an, China",,,,
Figuig,"Stains, France",,,,,,,,,,,,,,,,,,
El Hajeb,"Council Bluffs, United States",,,,,,,,,,,,,,,,,,
Al Hoceima,"Albuñol, Spain","Sint-Niklaas, Belgium",,,,,,,,,,,,,,,,,
Ifrane,"Albuñol, Spain",,,,,,,,,,,,,,,,,,
El Jadida,"Arenzano, Italy","Barcelos, Portugal","Nabeul, Tunisia","Sète, France","Sintra, Portugal","Varennes, Canada","Vierzon, France","Tacoma, United States",,,,,,,,,,,
Kenitra,"Bergerac, France","Gaziantep, Turkey","Hammam-Lif, Tunisia","Karatay, Turkey","Sancaktepe, Turkey","Santa Maria da Feira, Portugal","Santos, Brazil","Tavira, Portugal",,,,,,,,,,,
Ksar el-Kebir,"Lagos, Portugal",,,,,,,,,,,,,,,,,,
Larache,"Compiègne, France",,,,,,,,,,,,,,,,,,
Marrakesh,"Granada, Spain","Marseille, France","Ningbo, China","Scottsdale, United States","Sousse, Tunisia","Timbuktu, Mali",,,,,,,,,,,,,
M'diq,"Frontignan, France",,,,,,,,,,,,,,,,,,
Meknes,"Cenon, France","Nîmes, France","Santarém, Portugal","Tulkarm, Palestine",,,,,,,,,,,,,,,
Mohammedia,"Ghent, Belgium","Oeiras, Portugal",,,,,,,,,,,,,,,,,
Moulay Yacoub,"Aix-les-Bains, France",,,,,,,,,,,,,,,,,,
Ouarzazate,"Maubeuge, France",,,,,,,,,,,,,,,,,,
Oujda,"East Jerusalem, Palestine","Grenoble, France","Lille, France","Molenbeek-Saint-Jean, Belgium","Trowbridge, England, United Kingdom",,,,,,,,,,,,,,
Rabat,"Bethlehem, Palestine","Cairo, Egypt","Guangzhou, China","Honolulu, United States","Istanbul, Turkey","Lisbon, Portugal","Lyon, France","Madrid, Spain","Nablus, Palestine","Tunis, Tunisia",,,,,,,,,
Safi,"Boulogne-sur-Mer, France","Montereau-Fault-Yonne, France","Salaberry-de-Valleyfield, Canada","Setúbal, Portugal","Sfax, Tunisia",,,,,,,,,,,,,,
Salé,"Aryanah, Tunisia","Beitunia, Palestine","Gandiaye, Senegal","Grand Yoff, Senegal","Maroua, Cameroon","Portalegre, Portugal","Tlaxcala de Xicohténcatl, Mexico",,,,,,,,,,,,
Settat,"La Celle-Saint-Cloud, France","Yinchuan, China",,,,,,,,,,,,,,,,,
Skhirat,"Betz, France",,,,,,,,,,,,,,,,,,
Tangier,"Algeciras, Spain","Bizerte, Tunisia","Cádiz, Spain","Da Nang, Vietnam","Faro, Portugal","Liège, Belgium","Metz, France","Puteaux, France","Saint-Denis, Réunion, France","Saint-Josse-ten-Noode, Belgium","Santiago, Chile","Sétif, Algeria",,,,,,,
Tétouan,"Granada, Spain","Khan Yunis, Palestine","Monastir, Tunisia","Terrassa, Spain",,,,,,,,,,,,,,,
Tiznit,"İzmit, Turkey","Saint-Denis, France","Somerville, United States",,,,,,,,,,,,,,,,
Zagora,"Chapelle-lez-Herlaimont, Belgium",,,,,,,,,,,,,,,,,,
Bergrivier,"Heist-op-den-Berg, Belgium",,,,,,,,,,,,,,,,,,
Bloemfontein,"Bhubaneswar, India","Nanjing, China",,,,,,,,,,,,,,,,,
Buffalo City,"Jinhua, China","Leiden, Netherlands","Milwaukee County, United States","Oldenburg, Germany","Qinhuangdao, China",,,,,,,,,,,,,,
Cape Town,"Aachen, Germany","Accra, Ghana","Antwerp, Belgium","Bujumbura, Burundi","Dubai, United Arab Emirates","Funchal, Portugal","Haifa, Israel","Hangzhou, China","Maputo, Mozambique","Malmö, Sweden","Miami-Dade County, United States","Monterrey, Mexico","Rio de Janeiro, Brazil","Saint Petersburg, Russia","Varna, Bulgaria",,,,
Dordrecht,"Dordrecht, Netherlands",,,,,,,,,,,,,,,,,,
Drakenstein,"Walvis Bay, Namibia",,,,,,,,,,,,,,,,,,
Durban,"Alexandria, Egypt","Bremen, Germany","Bulawayo, Zimbabwe","Chicago, United States","Daejeon, South Korea","Guangzhou, China","Kaohsiung, Taiwan","Leeds, England, United Kingdom","Libreville, Gabon","Maputo, Mozambique","Mersin, Turkey","Mombasa, Kenya","New Orleans, United States","Oran, Algeria","Le Port, Réunion, France",,,,
East London,"Daqing, China",,,,,,,,,,,,,,,,,,
Ekurhuleni,"Harbin, China",,,,,,,,,,,,,,,,,,
Franschhoek,"Dilbeek, Belgium",,,,,,,,,,,,,,,,,,
George,"Saint Paul, United States","Tacoma, United States",,,,,,,,,,,,,,,,,
iLembe,"Mobile, United States","Zhanjiang, China",,,,,,,,,,,,,,,,,
Johannesburg,"Addis Ababa, Ethiopia","Birmingham, England, United Kingdom","Ho Chi Minh City, Vietnam","New York City, United States","Ramallah, Palestine","Taipei, Taiwan","Verona, Italy","Windhoek, Namibia",,,,,,,,,,,
King Cetshwayo,"Milwaukee, United States",,,,,,,,,,,,,,,,,,
Mathopestad,"Berkeley, United States",,,,,,,,,,,,,,,,,,
Mbombela,"Baotou, China","Maia, Portugal","Mbabane, Eswatini",,,,,,,,,,,,,,,,
Mogale,"Wujiang (Suzhou), China",,,,,,,,,,,,,,,,,,
Mossel Bay,"Denpasar, Indonesia",,,,,,,,,,,,,,,,,,
Msunduzi,"Hampton, United States","Taichung, Taiwan",,,,,,,,,,,,,,,,,
Nelson Mandela Bay,"Gothenburg, Sweden","Jacksonville, United States","Ningbo, China","Tainan, Taiwan",,,,,,,,,,,,,,,
Newcastle,"Nanchang, China","Zibo, China",,,,,,,,,,,,,,,,,
Oudtshoorn,"Alphen aan den Rijn, Netherlands","Hualien, Taiwan",,,,,,,,,,,,,,,,,
Oukasie,"Berkeley, United States",,,,,,,,,,,,,,,,,,
Polokwane,"Reggio Emilia, Italy",,,,,,,,,,,,,,,,,,
Pretoria,"Baku, Azerbaijan","Bucharest, Romania","Bulawayo, Zimbabwe","Hanoi, Vietnam","Kyiv, Ukraine","Port Louis, Mauritius","Taipei, Taiwan","Tehran, Iran","Washington, D.C., United States",,,,,,,,,,
Ray Nkonyeni,"Oskarshamn, Sweden",,,,,,,,,,,,,,,,,,
Sol Plaatje,"Changsha, China",,,,,,,,,,,,,,,,,,
Stellenbosch,"Paju, South Korea",,,,,,,,,,,,,,,,,,
Upington,"Temora, Australia",,,,,,,,,,,,,,,,,,
Witzenberg,"Bozhou, China","Essen, Belgium",,,,,,,,,,,,,,,,,
Worcester,"Aalst, Belgium",,,,,,,,,,,,,,,,,,
